file	function	has_chart_method	method_values_seen	branch_evidence_lines	calls_custom	calls_mixed	calls_divisional_fn_map
src/jhora/horoscope/chart/sphuta.py	chatur_sphuta_mixed_chart	yes		47,50,52	no	yes	no
src/jhora/horoscope/chart/sphuta.py	deha_sphuta	yes		114,118	no	no	no
src/jhora/horoscope/chart/sphuta.py	deha_sphuta_mixed_chart	yes		105,108	no	yes	no
src/jhora/horoscope/chart/sphuta.py	kshetra_sphuta	yes		194,198	no	no	no
src/jhora/horoscope/chart/sphuta.py	kshetra_sphuta_mixed_chart	yes		185,188	no	yes	no
src/jhora/horoscope/chart/sphuta.py	mrityu_sphuta	yes		134,138	no	no	no
src/jhora/horoscope/chart/sphuta.py	mrityu_sphuta_mixed_chart	yes		125,128	no	yes	no
src/jhora/horoscope/chart/sphuta.py	pancha_sphuta	yes		75,78,81	no	no	no
src/jhora/horoscope/chart/sphuta.py	pancha_sphuta_mixed_chart	yes		66,69,71	no	yes	no
src/jhora/horoscope/chart/sphuta.py	prana_sphuta	yes		94,98	no	no	no
src/jhora/horoscope/chart/sphuta.py	prana_sphuta_mixed_chart	yes		85,88	no	yes	no
src/jhora/horoscope/chart/sphuta.py	rahu_tithi_sphuta	yes		274,278	no	no	no
src/jhora/horoscope/chart/sphuta.py	rahu_tithi_sphuta_mixed_chart	yes		266,269	no	yes	no
src/jhora/horoscope/chart/sphuta.py	sookshma_tri_sphuta	yes		155,156,158,160	no	no	no
src/jhora/horoscope/chart/sphuta.py	sookshma_tri_sphuta_mixed_chart	yes		146,149,150,151	no	yes	no
src/jhora/horoscope/chart/sphuta.py	tithi_sphuta	yes		214,218	no	no	no
src/jhora/horoscope/chart/sphuta.py	tithi_sphuta_mixed_chart	yes		206,209	no	yes	no
src/jhora/horoscope/chart/sphuta.py	tri_sphuta	yes		36,39	no	no	no
src/jhora/horoscope/chart/sphuta.py	tri_sphuta_mixed_chart	yes		24,27	no	yes	no
src/jhora/horoscope/chart/sphuta.py	yoga_sphuta	yes		235,239	no	no	no
src/jhora/horoscope/chart/sphuta.py	yoga_sphuta_mixed_chart	yes		225,229	no	yes	no
src/jhora/horoscope/chart/sphuta.py	yogi_sphuta	yes		250,252	no	no	no
src/jhora/horoscope/chart/sphuta.py	yogi_sphuta_mixed_chart	yes		247,248	no	yes	no
src/jhora/horoscope/dhasa/annual/mudda.py	varsha_vimsottari_dasha_start_date	yes		43,48	no	no	no
src/jhora/horoscope/dhasa/annual/mudda.py	varsha_vimsottari_dhasa_bhukthi	yes		122,133	no	no	no
src/jhora/horoscope/dhasa/annual/mudda.py	varsha_vimsottari_mahadasa	yes		59,62	no	no	no
src/jhora/horoscope/dhasa/annual/patyayini.py	patyayini_dhasa	yes		24,31,35	no	no	no
src/jhora/horoscope/dhasa/graha/aayu.py	_lagna_longevity	yes		385,389	no	no	no
src/jhora/horoscope/dhasa/graha/aayu.py	amsayu_dhasa_bhukthi	yes		490,493	no	no	no
src/jhora/horoscope/dhasa/graha/aayu.py	get_dhasa_antardhasa	yes		410,433	no	no	no
src/jhora/horoscope/dhasa/graha/aayu.py	nisargayu_dhasa_bhukthi	yes		485,488	no	no	no
src/jhora/horoscope/dhasa/graha/aayu.py	pindayu_dhasa_bhukthi	yes		480,483	no	no	no
src/jhora/horoscope/dhasa/graha/ashtottari.py	ashtottari_dasha_start_date	yes		69,76,88,91,97	no	no	no
src/jhora/horoscope/dhasa/graha/ashtottari.py	ashtottari_mahadasa	yes		117,124	no	no	no
src/jhora/horoscope/dhasa/graha/ashtottari.py	get_ashtottari_dhasa_bhukthi	yes		167,176	no	no	no
src/jhora/horoscope/dhasa/graha/buddhi_gathi.py	get_dhasa_bhukthi	yes		24,33,44	no	no	no
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	_dhasa_start	yes		72,79,91,94,97,100	no	no	no
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	get_dhasa_bhukthi	yes		114,124,151	no	no	no
src/jhora/horoscope/dhasa/graha/dwadasottari.py	_dhasa_start	yes		68,75,87,90,93,96	no	no	no
src/jhora/horoscope/dhasa/graha/dwadasottari.py	get_dhasa_bhukthi	yes		110,119,145	no	no	no
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	_dhasa_start	yes		70,77,89,92,95,98	no	no	no
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	get_dhasa_bhukthi	yes		113,122,148	no	no	no
src/jhora/horoscope/dhasa/graha/karaka.py	get_dhasa_antardhasa	yes		27,36,47	no	no	no
src/jhora/horoscope/dhasa/graha/karana_chathuraaseethi_sama.py	get_dhasa_bhukthi	yes		62	no	no	no
src/jhora/horoscope/dhasa/graha/naisargika.py	get_dhasa_bhukthi	yes		28,38,57	no	no	no
src/jhora/horoscope/dhasa/graha/panchottari.py	_dhasa_start	yes		68,75,87,90,93,96	no	no	no
