file	function	option_name	values_seen	branch_evidence_lines	state_mutation	ayanamsa_touchpoint	anchor_id
Engine-49	not_found	ayanamsa	not_found_in_dhasa_engine	L2	none	none	DS32
src/jhora/horoscope/chart/charts.py	_amsa	divisional_chart_factor	parameter_only	L1858,L1862,L1875,L1878,L1882,L1886,L1890,L1893,L1903,L1906,L1911	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	_amsa._get_amsa_index_from_longitude	divisional_chart_factor	parameter_only	L1865	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	_amsa_d150	divisional_chart_factor	parameter_only	L2219,L2222	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	_vaiseshikamsa_bala_of_planets	divisional_chart_factor	parameter_only	L1256	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	_varnada_lagna_bv_raman	divisional_chart_factor	parameter_only	L1581,L1590,L1596	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	_varnada_lagna_jha_pandey	divisional_chart_factor	parameter_only	L1464,L1468,L1477,L1489	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	_varnada_lagna_jha_pandey_mixed_chart	divisional_chart_factor	parameter_only	L1462	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	_varnada_lagna_sanjay_rath	divisional_chart_factor	parameter_only	L1406,L1410,L1416,L1438	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	_varnada_lagna_sanjay_rath_mixed_chart	divisional_chart_factor	parameter_only	L1403	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	_varnada_lagna_santhanam	divisional_chart_factor	parameter_only	L1609,L1618	none	none	DS900
src/jhora/horoscope/chart/charts.py	_varnada_lagna_sharma	divisional_chart_factor	parameter_only	L1637,L1648,L1654	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	_vimsopaka_bala_of_planets	divisional_chart_factor	parameter_only	L1275	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	benefics	divisional_chart_factor	parameter_only	L1722,L1741	none	none	DS900
src/jhora/horoscope/chart/charts.py	benefics_and_malefics	divisional_chart_factor	parameter_only	L1666,L1696	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	custom_divisional_chart	divisional_chart_factor	parameter_only	L1012	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	divisional_chart	divisional_chart_factor	parameter_only	L1081,L1099,L1121	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	divisional_positions_from_rasi_positions	divisional_chart_factor	1	L1066,L1068,L1071,L1074,L1075	none	none	DS900
src/jhora/horoscope/chart/charts.py	malefics	divisional_chart_factor	parameter_only	L1743,L1762	none	none	DS900
src/jhora/horoscope/chart/charts.py	nadiamsa_chart	divisional_chart_factor	parameter_only	L1010	none	none	DS900
src/jhora/horoscope/chart/charts.py	next_conjunction_of_planet_pair_divisional_chart	divisional_chart_factor	parameter_only	L2122,L2151,L2154,L2165,L2168,L2178,L2181,L2192,L2195	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	next_planet_entry_date_divisional_chart	divisional_chart_factor	parameter_only	L2013,L2029,L2033,L2035,L2052,L2059,L2065	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	previous_planet_entry_date_divisional_chart	divisional_chart_factor	parameter_only	L2007,L2009	none	none	DS900
